TrialNum,FileName,Config,Block,AUC_RTA,AUC_LTA,AUC_RRF,AUC_LRF
19,test2_jan08_2026_Trial_063.csv,Config1,76_noStim,0.00132390086731285,0.00340294420231787,0.000699142579979464,0.000559855857353876
20,test2_jan08_2026_Trial_064.csv,Config1,76_noStim,0.00195504065880873,0.00426725851626454,0.000918443219523975,0.000376796788717648
21,test2_jan08_2026_Trial_065.csv,Config1,76_stim,0.00264224094232894,0.00691169655330587,0.00031762785821619,0.000686418932421191
22,test2_jan08_2026_Trial_066.csv,Config1,76_stim,0.00343780574478858,0.00446647185949781,0.000649550424803271,0.0008821648872741
23,test2_jan08_2026_Trial_067.csv,Config1,76_stim,0.00160434915627242,0.00421991514995709,-0.000715432355782802,-0.000369684823723891
24,test2_jan08_2026_Trial_068.csv,Config1,76_stim,0.00151108745686152,0.00515340504435141,0.000803927275622387,0.000748534168350122
25,test2_jan08_2026_Trial_069.csv,Config1,76_stim,0.00220964278061348,0.00459971626166924,0.000951482589100253,0.00143319558650261
26,test2_jan08_2026_Trial_070.csv,Config1,76_stim,0.00172243598990708,0.00455435417242122,0.000807112837933848,0.000501210830610774
27,test2_jan08_2026_Trial_071.csv,Config1,76_stim,0.00145970275969214,0.00429478181739864,0.000850993672387247,0.000476482014688934
28,test2_jan08_2026_Trial_072.csv,Config1,76_stim,0.00193355184458835,0.00362979914858041,0.00095902232984399,0.000258711600289114
29,test2_jan08_2026_Trial_073.csv,Config1,76_stim,0.00230394917242657,0.00503276701919899,0.000607520082983878,0.000882765953281267
30,test2_jan08_2026_Trial_074.csv,Config1,76_stim,0.00202126127036977,0.0048486059400999,0.000877978019377161,0.000490584338903153
31,test2_jan08_2026_Trial_075.csv,Config1,63_stim,0.000126015376284324,0.00117516394689541,0.000360942292176378,0.000342532926171689
32,test2_jan08_2026_Trial_076.csv,Config1,63_stim,0.001599340914869,0.0025764950161268,0.000296986833194618,0.000308957474939059
33,test2_jan08_2026_Trial_077.csv,Config1,63_stim,0.00108338893954082,0.00230864241129143,0.000294072764504928,0.000254227400903743
34,test2_jan08_2026_Trial_078.csv,Config1,63_stim,9.1952993773098e-05,0.00182291726216152,-3.81488875353551e-05,2.92603593113482e-05
35,test2_jan08_2026_Trial_079.csv,Config1,63_stim,4.52349510016699e-05,0.00252363404052934,-0.000610069159701777,-0.000561072915394945
36,test2_jan08_2026_Trial_080.csv,Config1,63_stim,4.85990303596831e-06,0.000442335587279233,0.000224515358677992,0.00014913334591852
37,test2_jan08_2026_Trial_081.csv,Config1,63_stim,0.000445833305029529,0.00254791328175849,-0.000324857391437857,-3.43646289314844e-05
38,test2_jan08_2026_Trial_082.csv,Config1,63_stim,8.14723246507941e-05,0.0022900300525924,7.46829806431912e-05,8.53108423589854e-05
39,test2_jan08_2026_Trial_083.csv,Config1,63_stim,0.000103380743205213,0.00384232175445795,0.000315997115099627,0.000282680639650271
40,test2_jan08_2026_Trial_084.csv,Config1,63_stim,4.54125611210242e-05,0.00187668582664131,-0.000497153476160648,-0.000551068784843556
41,test2_jan08_2026_Trial_085.csv,Config2,63_noStim,0.000115266974046561,0.000751627608568695,3.14460504384143e-05,0.00020812565518018
42,test2_jan08_2026_Trial_086.csv,Config2,63_noStim,6.19888259871856e-05,0.00040707946973419,0.000499663327001913,0.000108428577864045
43,test2_jan08_2026_Trial_087.csv,Config2,63_noStim,-4.33441550146494e-06,0.000512572884770101,-8.82096384692302e-06,5.37282407784118e-06
44,test2_jan08_2026_Trial_088.csv,Config2,63_noStim,2.59229960069328e-05,0.00101888489919961,0.000364949818813221,8.54910058724969e-05
45,test2_jan08_2026_Trial_089.csv,Config2,63_noStim,2.32645645610833e-05,0.000424894333202569,0.000165885969064395,1.89047672963516e-05
46,test2_jan08_2026_Trial_090.csv,Config2,63_noStim,7.57715662746563e-05,0.000522134153890302,0.000166152401292161,9.8965329882119e-05
47,test2_jan08_2026_Trial_091.csv,Config2,63_noStim,1.01604005782582e-05,0.000786726262815399,3.69577281077168e-05,-8.89089955422139e-06
48,test2_jan08_2026_Trial_092.csv,Config2,63_noStim,7.6554323838375e-05,0.00234888968625308,0.000382382112433681,0.000926310376571173
49,test2_jan08_2026_Trial_093.csv,Config2,63_noStim,0.000903159039784476,0.00247920967177487,0.000608475655593615,6.24552480486344e-06
50,test2_jan08_2026_Trial_094.csv,Config2,63_noStim,6.34532292750842e-05,0.00023867920836943,0.000194607690311545,6.37358942586253e-05
51,test2_jan08_2026_Trial_095.csv,Config2,76_noStim,0.00153544729040741,0.00534882713982324,0.000728750807792516,0.000605083245280844
52,test2_jan08_2026_Trial_096.csv,Config2,76_noStim,0.00170781884145236,0.00159816900870906,0.000793752987240742,0.000846344183855687
53,test2_jan08_2026_Trial_097.csv,Config2,76_noStim,0.00216014175701648,0.00325487801476714,0.000742121429912557,0.000455470427455062
54,test2_jan08_2026_Trial_098.csv,Config2,76_noStim,0.00161428704149886,0.00342270036978287,0.000944880470589984,0.00151739994573144
55,test2_jan08_2026_Trial_099.csv,Config2,76_noStim,0.00192969546257405,0.00351307129901268,0.0007359699854089,0.00154410927642563
56,test2_jan08_2026_Trial_100.csv,Config2,76_noStim,0.00173215120975422,0.00316153559526159,0.000951444611471124,0.000559116244136136
57,test2_jan08_2026_Trial_101.csv,Config2,76_noStim,0.00125713711275813,0.00294939366899416,0.00109722961287529,0.00123245344915083
58,test2_jan08_2026_Trial_102.csv,Config2,76_noStim,0.00106694518515227,0.00128662418102673,0.00101258900251141,0.000185075296013998
59,test2_jan08_2026_Trial_103.csv,Config2,76_noStim,0.00148432155793673,0.00138494240564343,0.000942568619503684,0.000640618905814494
60,test2_jan08_2026_Trial_104.csv,Config2,76_noStim,0.000919867751577429,0.00249929604184817,0.000734121170834019,0.000118476539888421
61,test2_jan08_2026_Trial_105.csv,Config2,76_stim,0.00282674741303148,0.00462803014949026,0.00123056071504199,0.000979837799576744
62,test2_jan08_2026_Trial_106.csv,Config2,76_stim,0.00106298402901641,0.0049569936388082,0.00010784646158278,0.00126241906331929
63,test2_jan08_2026_Trial_107.csv,Config2,76_stim,0.00229065907840902,0.00445611249355353,0.000555141622758858,0.000513317742124506
64,test2_jan08_2026_Trial_108.csv,Config2,76_stim,0.00140106816495912,0.00321104789020592,0.0003010114712974,0.00021340582522263
65,test2_jan08_2026_Trial_109.csv,Config2,76_stim,0.000779841119913495,0.00365134386616304,0.000184590443076898,0.000170566293693493
66,test2_jan08_2026_Trial_110.csv,Config2,76_stim,0.000926280928509632,0.00262432971537978,0.000649323273280806,0.000679252932063644
67,test2_jan08_2026_Trial_111.csv,Config2,76_stim,0.000972808038634521,0.00148799525013741,-2.02962622262663e-05,6.8316372307644e-05
68,test2_jan08_2026_Trial_112.csv,Config2,76_stim,0.000220125117719377,0.00147421675426734,0.000544371792313211,0.000306954533602082
69,test2_jan08_2026_Trial_113.csv,Config2,76_stim,8.78927909375254e-05,0.00277860249583924,-9.83443697045246e-05,0.000502127455735477
70,test2_jan08_2026_Trial_114.csv,Config2,76_stim,0.000921704744273816,0.00165718159117994,0.000371048211641026,0.000207719114680481
71,test2_jan08_2026_Trial_115.csv,Config2,63_stim,0.000990805241305644,0.00196843131659141,0.00104664235954246,0.000913083333116674
72,test2_jan08_2026_Trial_116.csv,Config2,63_stim,0.000989056560241413,0.000950162799375126,0.00021822512205372,0.000220941401123188
73,test2_jan08_2026_Trial_117.csv,Config2,63_stim,2.70420817968872e-05,0.000162588161661869,-0.000275411268591504,-0.000211920281396986
74,test2_jan08_2026_Trial_118.csv,Config2,63_stim,0.000209242372457882,0.000763389924118387,2.38301683383793e-05,5.23688236124429e-05
75,test2_jan08_2026_Trial_119.csv,Config2,63_stim,7.31415055707503e-06,0.00013102783436125,0.000301042432362863,6.81391647950088e-05
76,test2_jan08_2026_Trial_120.csv,Config2,63_stim,-1.04374475362151e-05,0.000215226051813454,7.59077939072798e-06,-8.91249003348508e-05
77,test2_jan08_2026_Trial_121.csv,Config2,63_stim,2.01643035971661e-05,0.000292134011132587,0.000116060440660101,0.000118194167387979
78,test2_jan08_2026_Trial_122.csv,Config2,63_stim,8.90465954205543e-06,0.00132068384936756,-0.000203992787753697,4.4924863571867e-05
79,test2_jan08_2026_Trial_123.csv,Config2,63_stim,-3.03744476642643e-05,0.000512303902132863,-9.43967737881491e-06,1.29202453920149e-05
80,test2_jan08_2026_Trial_124.csv,Config2,63_stim,0.00310137724917345,0.000346817990810565,0.000465134430607696,4.92326341720178e-05
81,test2_jan08_2026_Trial_125.csv,Config3,63_noStim,0.00133708348627998,0.0010651527137325,0.000857890547840854,0.00181995660652508
82,test2_jan08_2026_Trial_126.csv,Config3,63_noStim,0.000984563493416438,0.000359229768738651,6.60802323648488e-06,3.69860745944023e-05
83,test2_jan08_2026_Trial_127.csv,Config3,63_noStim,0.00206188188395739,0.000779944928293642,0.000308059635165318,0.000399332421496903
84,test2_jan08_2026_Trial_128.csv,Config3,63_noStim,6.14359004119589e-06,0.000330822919006351,6.37223164250746e-05,8.81001217776031e-06
85,test2_jan08_2026_Trial_129.csv,Config3,63_noStim,0.00211344747860055,0.00243575832405689,0.00195157756777311,0.000298626366778487
86,test2_jan08_2026_Trial_130.csv,Config3,63_noStim,2.35315845427502e-05,0.000816768976117149,0.000109974099409974,0.000121698134859375
87,test2_jan08_2026_Trial_131.csv,Config3,63_noStim,0.00100690152550079,0.000260101650272642,5.29369568617922e-05,0.000153517404623982
